,tweet.id,tweet.created_at,tweet.text,tweet.user.location,tweet.user.verified,tweet.favorite_count,tweet.user.screen_name,tweet.user.id_str,tweet.user.url,tweet.user.followers_count,tweet.user.friends_count,tweet.user.statuses_count,tweet.user.default_profile_image,tweet.lang
0,1.46475E+18,11/27/2021 23:59,"If this #Moderna vaccine has fucked me up in any way, it's on sight for any of your fucking science creeps.",,FALSE,2,NobodyHame,1.41574E+18,,56,1257,1540,FALSE,en
1,1.46475E+18,11/27/2021 23:58,@RockiiiiRoadd I'm just saying when moderna vaccine go up y'all thank Rocki &amp; Ace pls thanks,loading....,FALSE,0,jadastackhouse,125464406,,13292,445,162464,FALSE,en
2,1.46474E+18,11/27/2021 23:50,@PeterHotez A brilliant plan to help Pfizer and Moderna by creating a vaccine that's cheaper and easier to produce.,Toronto,FALSE,0,alan_page_ca,932440272,,33,59,302,FALSE,en
3,1.46474E+18,11/27/2021 23:45,"Hey, Fox Boy. You do know that the Moderna vaccine needs cryogenic storage which is in short supply in Africa, don’… https://t.co/OzqztB9k75","Old Portsmouth, England",FALSE,1,lennylaw,20204298,,1009,382,119913,FALSE,en
4,1.46474E+18,11/27/2021 23:45,Pfizer and Moderna said they have plans in place to deal with a vaccine-resistant variant. Moderna said it's alread… https://t.co/oPVaI4CRsP,,TRUE,7,WWLTV,14269771,https://t.co/59gYdsBJNk,211506,919,264009,FALSE,en
5,1.46474E+18,11/27/2021 23:45,Moderna shot number 3 ✅                       Flu vaccine ✅,Baltimore Maryland,FALSE,1,CarolynStomer,1.22264E+18,https://t.co/VhUCakHyKf,23,112,70,FALSE,en
6,1.46474E+18,11/27/2021 23:43,I found this on NewsBreak – the #1 local news app used by 45+ million people: French health authority advises again… https://t.co/UiopTL9niL,,FALSE,0,dougsoldlady,116140380,,5,54,55,TRUE,en
7,1.46474E+18,11/27/2021 23:43,"@normanswan I had full dose Moderna as my third vaccine, after two AZ doses earlier. Knocked me around for a couple… https://t.co/IOa4F5gc9u",Australia,FALSE,5,Thoracicus,487307955,,117,29,1926,FALSE,en
8,1.46474E+18,11/27/2021 23:41,"Miserable, and predictable since the US is protecting pharma profits at the cost of vaccine apartheid. 

@pfizer… https://t.co/5EZvtvLXH0","Narragansett land (PVD, RI)",FALSE,0,NateL_A,119872765,https://t.co/caYm5DttYy,636,714,7980,FALSE,en
9,1.46474E+18,11/27/2021 23:41,#COVID19 #covidvariant #Pfizer #Moderna #vaccine Look on indeed and other job boards they are literally hiring vacc… https://t.co/cdUeVNHJrl,"Marlton, NJ",FALSE,5,ACastellanoNJ,1.17124E+18,,348,548,3446,FALSE,en
10,1.46474E+18,11/27/2021 23:40,Pfizer and Moderna said they have plans in place to deal with a vaccine-resistant variant. Moderna said its already… https://t.co/Tuk3QnFfh3,"Buffalo, NY",TRUE,25,WGRZ,15308015,http://t.co/ciJPXP2KCF,194960,2048,272252,FALSE,en
11,1.46474E+18,11/27/2021 23:39,"#BoosterShots #WearAMask  #Ventilation
#COVID19 
#OMICRON📌
In the event that vaccine-escape variant emerges, Pfizer… https://t.co/f9W0w1QrhV",🌎,FALSE,1,USAmailbox,28587369,,1208,1027,19167,FALSE,en
12,1.46474E+18,11/27/2021 23:38,https://t.co/FfnfxAM1BQ,"Wilmington, DE",FALSE,0,SkonieSkoop,1230271051,https://t.co/F2OoaaOvbC,3119,4927,259426,FALSE,und
13,1.46474E+18,11/27/2021 23:36,"@SocialistJackie @RamonaMassachi Evil, not stupid. They know exactly what they’re doing: protecting big pharma’s pr… https://t.co/ziCMV5pDRq","Portland, OR - USA",FALSE,2,erasmix,376291576,https://t.co/ZzD8VLLrI1,176,150,5092,FALSE,en
14,1.46474E+18,11/27/2021 23:36,.@POTUS @BorisJohnson @JustinTrudeau @RegSprecher @Palazzo_Chigi @EmmanuelMacron @JPN_PMO @pfizer @moderna_tx… https://t.co/MXVXpk5Lk6,,FALSE,0,Reihaneh_shd,1.03219E+18,,9,91,702,FALSE,en
15,1.46474E+18,11/27/2021 23:36,"@Nhamtn @bea_johanssen @cjsnowdon Well as Moderna would make more money if another vaccine was needed, not sure what your point is.",,FALSE,1,helenmaria15,202197245,,96,93,4009,FALSE,en
16,1.46474E+18,11/27/2021 23:34,"Moderna vaccine more effective than Pfizer against COVID-19, study finds - https://t.co/3i5DC83bqK https://t.co/85l5opj8sW #SmartNews","Warren, Oregon",FALSE,0,Mayor_Tinkerton,23244402,,28,49,2148,FALSE,en
17,1.46474E+18,11/27/2021 23:34,"A number of pharmaceutical firms, including AstraZeneca, Moderna, Novavax and Pfizer, said they have plans in place… https://t.co/4LNHbJ4VsN",New Zealand.,FALSE,3,caffeine_addict,15046635,,7616,2616,57052,FALSE,en
18,1.46474E+18,11/27/2021 23:31,"Take the vaccine or die from COVID-19, never mix visor and Moderna also booster shot, I will never do that",,FALSE,0,Charles05773533,1.23818E+18,,2,23,223,FALSE,en
19,1.46474E+18,11/27/2021 23:30,"Finland has joined Sweden, Denmark and Norway in either banning or discouraging young adults or teens from getting… https://t.co/5FkEhKgQnG",God’s Country,FALSE,1,Julie22319872,1.06021E+18,,1466,1565,23146,FALSE,en
20,1.46474E+18,11/27/2021 23:28,"@bobreeduk @politediscuss @RealJamieKay @strolltoitaly 1. I take flu jabs 
2. People have had 2 jabs and a booster,… https://t.co/0wkhr6rxDe",European Union 🇪🇺,FALSE,0,Goddess1345,353239455,,5888,6476,500692,FALSE,en
21,1.46474E+18,11/27/2021 23:28,@sdunbabin @normanswan The macaques were immunized with the two-dose Moderna vaccine series. About six months later… https://t.co/OuXQLAeWsU,,FALSE,1,RickyOzzie,3270418466,,33,109,704,FALSE,en
