,tweet.id,tweet.created_at,tweet.text,tweet.user.location,tweet.user.verified,tweet.favorite_count,tweet.user.screen_name,tweet.user.id_str,tweet.user.url,tweet.user.followers_count,tweet.user.friends_count,tweet.user.statuses_count,tweet.user.default_profile_image,tweet.lang
0,1464745785250107393,2021-11-27 23:59:43,"@thrasherxy I worked at the in-take desk of a Pfizer Covid-19 vaccine clinic for 7 months.

NO ONE was ever asked a… https://t.co/FcLJk5wtod",,False,5,Critters2101,1279850180985184256,,47,182,665,False,en
1,1464745605146857477,2021-11-27 23:59:00,"@Astevenson30 @RealCandaceO Pfizer falsified data to get the vaccine approved. That must not worry you, eh?",,False,17,terrygefCCC,2842625306,,6,27,83,False,en
2,1464745500775788549,2021-11-27 23:58:35,Pfizer said an updated version of its COVID-19 vaccine will be 'ready in 100 days' if the new Omicron variant is re… https://t.co/MJrJ620ZoD,,False,0,BryceAtwell,860978250792783872,,4611,5024,49219,False,en
3,1464745434325291009,2021-11-27 23:58:19,"Except for the fact that their profits were $8b in Q3.

Are you secretly a Pfizer shill trying to make people onlin… https://t.co/fXyhzoPIUl",Delocalized,False,1,mchapiro,888254846,https://t.co/4qjUcpNmWu,2730,774,20880,False,en
4,1464745416726044672,2021-11-27 23:58:15,"New Omicron vaccine will be ready in 100 days if current vaccine renders ineffective against new variant, Pfizer sa… https://t.co/K5s0hyCB81","London, England",False,8,TheAgeOfBanana,1397883882339549190,,2300,28,2315,False,en
5,1464745256742752259,2021-11-27 23:57:37,@OttawaDaddy @Anniekidder @KarenLeis3 @kraekerc @JacquieAMiller @lauramccoy01 @berylrcohen @danrosenbergnet… https://t.co/GDc3Gx0A12,,False,10,jlay02,32696018,https://t.co/9ypCZYUGH2,1575,3938,17190,False,en
6,1464745046272577537,2021-11-27 23:56:47,"@Herfstrood @ScottAdamsSays I think you should do more research, and not be judging and stereotyping people who by… https://t.co/Y5wDBQ7SjQ",,False,9,PuebloDespertar,1253357076249751554,https://t.co/QEJt1MrjtA,398,125,2952,False,en
7,1464745029528956938,2021-11-27 23:56:43,@ASlavitt How is a Viral Vector(J&amp;J) dif from mRNA(Pfizer) vaccine? mRNA is created in a lab by humans(China/Pfizer… https://t.co/qewJ3BOJ2Q,,False,0,ThoughtShaping,1301185332734562305,,38,265,12249,False,en
8,1464744845449338886,2021-11-27 23:55:59,Eis que vem as doses 4 e 5. https://t.co/qw6QnVGz7K https://t.co/v0z6jS45ws,Lat. 05º 05' Long. 42º 48',False,2,ZazaS_,34629513,,6644,5337,309215,False,pt
9,1464744759445053441,2021-11-27 23:55:38,@KatiePavlich How is a Viral Vector(J&amp;J) dif from mRNA(Pfizer) vaccine? mRNA is created in a lab by humans(China/Pf… https://t.co/ggwJy0TPuJ,,False,0,ThoughtShaping,1301185332734562305,,38,265,12249,False,en
10,1464744623490977794,2021-11-27 23:55:06,Alternate article: https://t.co/7rOEK3jDh1 https://t.co/3og1c3aCQf,"Lincoln, Ontario",False,9,shanermurph,116580073,https://t.co/zFonWobugG,9219,1296,72343,False,ro
11,1464744517010169860,2021-11-27 23:54:41,"#Egypt receives a new shipment of #Pfizer #COVID19 #vaccine via #COVAX So far , Egypt received from the US 13.5 mil… https://t.co/v2vdlwqOpV",Egypt,False,0,Zeinobia,608583,https://t.co/2qTVm5DFkG,266211,5954,722507,False,en
12,1464744332611624960,2021-11-27 23:53:57,"""107 children given incorrect dose of Pfizer COVID vaccine at MercyOne clinic in Urbandale"" per Des Moines Register","Washington, DC",True,228,VenturaReport,976569885009485824,,77984,1463,7891,False,en
13,1464744171806277632,2021-11-27 23:53:18,"@doritmi @tarahaelle @kevinault @MayaSmi60344239 @PeterHotez That's why ""Journalists"" aren't scientists

Her ""caref… https://t.co/iork1HvKfV",New Jersey + Obama's Street,False,0,PLHartungRN,1323988009935609857,,237,27,2532,False,en
14,1464744145487122438,2021-11-27 23:53:12,https://t.co/nYyfwhfnBO,"Georgia, USA",False,1,Havenlore,917761510436429824,,9525,9437,25815,False,und
15,1464744080018137089,2021-11-27 23:52:56,@BBCWorld How is a Viral Vector(J&amp;J) dif from mRNA(Pfizer) vaccine? mRNA is created in a lab by humans(China/Pfizer… https://t.co/Lm1wIAm13w,,False,0,ThoughtShaping,1301185332734562305,,38,265,12249,False,en
16,1464744021570605057,2021-11-27 23:52:43,"@CaroRCummings @WCCO ivermectin and HCQ will solve the problem, oh that's right Pfizer is coming out with a $700 pi… https://t.co/7EWIQXADHi",,False,0,upperpatriot,1226689247228448769,,60,153,1552,False,en
17,1464743991803535365,2021-11-27 23:52:35,"Polska, Gdynia. Mieczysław Pasierbski: Były mistrz Polski w podnoszeniu ciężarów ma amputowaną nogę wkrótce po otrz… https://t.co/cwp1wymtqC",Poland,False,86,Magmag77711777,1298956975758356480,,5198,2767,58187,False,pl
18,1464743958249185282,2021-11-27 23:52:27,@kallmemeg @WHO How is a Viral Vector(J&amp;J) dif from mRNA(Pfizer) vaccine? mRNA is created in a lab by humans(China/… https://t.co/Kc1UvTCKx7,,False,0,ThoughtShaping,1301185332734562305,,38,265,12249,False,en
19,1464743902435586052,2021-11-27 23:52:14,"@tomhfh How is a Viral Vector(J&amp;J) dif from mRNA(Pfizer) vaccine? mRNA is created in a lab by humans(China/Pfizer),… https://t.co/FIa4UArrt9",,False,0,ThoughtShaping,1301185332734562305,,38,265,12249,False,en
20,1464743729844080648,2021-11-27 23:51:33,Pfizer’s UK boss says he’d allow his six-year-old daughter to have its Covid vaccine https://t.co/xG9OFCvKon,"Palo Alto, CA",False,0,wilsonjmashaka,714513438836441089,https://t.co/GAA6wr4aQX,243,113,105675,False,en
21,1464743557533741060,2021-11-27 23:50:52,@PeterHotez A brilliant plan to help Pfizer and Moderna by creating a vaccine that's cheaper and easier to produce.,Toronto,False,0,alan_page_ca,932440272,,33,59,302,False,en
22,1464743554702581771,2021-11-27 23:50:51,"@Bastos248 @f_philippot Déjà, il y a plus de contaminés et variant dans les pays qui ont un grand pourcentage de va… https://t.co/oMdF4e7hPF",,False,1,GUYONSylvie,1272578706,,1142,945,12721,False,fr
23,1464743432124080130,2021-11-27 23:50:22,@PeterHotez How is a Viral Vector(J&amp;J) dif from mRNA(Pfizer) vaccine? mRNA is created in a lab by humans(China/Pfiz… https://t.co/kxFfYpduMr,,False,0,ThoughtShaping,1301185332734562305,,38,265,12249,False,en
